StudentID,Age,City_Tier,State,10th_Percentage,12th_Percentage,Entrance_Exam_Score,Course_Name,Department,Fee_Payment_Status,Scholarship_Recipient,Extracurricular_Activity_Count,Avg_Attendance,Final_CGPA,Is_Dropout,Joining_Year
10001,18,Tier 3,Maharashtra,66.83,68.48,83.45,B.Sc in Physics,Science,Delayed,Yes,5,59.97,8.23686707463461,1,2021
10002,20,Tier 1,Uttar Pradesh,64.26,57.81,46.03,BBA,Management,Delayed,Yes,5,57.16,7.1791528407765215,0,2022
10003,19,Tier 1,Uttar Pradesh,91.78,83.78,62.43,BBA,Management,On-Time,Yes,5,54.16,7.614476120749981,0,2022
10004,20,Tier 1,Maharashtra,90.34,83.26,63.67,B.Tech in Computer Science,Engineering,Delayed,No,2,59.68,7.331089199532903,0,2022
10005,19,Tier 3,Karnataka,76.22,69.88,90.81,B.Tech in Mechanical,Engineering,On-Time,No,0,60.33,9.138924949360444,1,2023
10006,21,Tier 2,Karnataka,55.14,50.0,82.46,B.Com,Commerce,On-Time,Yes,2,57.48,8.913087307719518,1,2022
10007,19,Tier 1,Maharashtra,92.75,83.55,45.05,BBA,Management,Delayed,No,5,58.88,7.022621503638443,1,2022
10008,21,Tier 2,Andhra Pradesh,60.2,61.83,59.95,B.Com,Commerce,Delayed,No,1,48.65,6.880810999479911,0,2022
10009,21,Tier 1,Rajasthan,59.06,54.18,60.9,BBA,Management,On-Time,Yes,3,52.83,7.757420651405179,0,2021
10010,22,Tier 1,Delhi,83.04,79.93,40.87,B.Tech in Computer Science,Engineering,Defaulted,No,1,52.23,7.134087014090014,1,2023
10011,20,Tier 1,Tamil Nadu,79.9,76.77,84.13,B.Tech in Computer Science,Engineering,On-Time,Yes,4,54.84,9.21,1,2022
10012,21,Tier 3,Telangana,77.48,68.46,52.05,B.Sc in Physics,Science,On-Time,No,0,51.28,6.788709914918397,0,2021
10013,19,Tier 2,West Bengal,61.78,54.27,81.51,B.Com,Commerce,On-Time,No,1,60.89,9.502191200875172,0,2022
10014,20,Tier 2,Andhra Pradesh,65.8,57.18,43.0,B.Sc in Physics,Science,On-Time,No,4,51.0,6.453004591386832,1,2022
10015,19,Tier 1,Rajasthan,56.8,56.33,95.05,B.Tech in Computer Science,Engineering,Delayed,Yes,1,61.52,8.969009112008077,1,2023
10016,21,Tier 2,Tamil Nadu,61.85,56.33,62.57,B.Tech in Computer Science,Engineering,On-Time,No,5,59.47,7.181222820255245,1,2021
10017,20,Tier 1,Maharashtra,92.71,93.79,74.25,B.Tech in Electronics,Engineering,On-Time,Yes,2,49.38,8.527788584392715,0,2022
10018,21,Tier 3,Delhi,94.59,90.24,79.14,B.Tech in Computer Science,Engineering,On-Time,Yes,2,57.64,7.93149426088145,0,2023
10019,20,Tier 2,Tamil Nadu,88.79,84.69,59.01,BBA,Management,On-Time,Yes,1,55.78,6.944649721838298,0,2021
10020,18,Tier 1,Maharashtra,97.31,93.14,85.34,BBA,Management,Defaulted,No,0,56.05,8.372954222261283,1,2024
10021,19,Tier 2,Delhi,60.73,58.76,71.34,B.Com,Commerce,On-Time,No,5,67.19,8.421298242159812,0,2023
10022,19,Tier 2,Uttar Pradesh,58.33,59.04,56.03,B.Tech in Electronics,Engineering,Defaulted,Yes,4,53.75,6.774296079036496,1,2023
10023,21,Tier 2,Maharashtra,67.84,66.99,92.61,BBA,Management,Defaulted,Yes,3,63.94,9.23596654621546,1,2021
10024,22,Tier 1,Maharashtra,82.64,85.6,67.24,B.Tech in Computer Science,Engineering,On-Time,Yes,5,61.13,7.144487045538337,0,2022
10025,18,Tier 1,Maharashtra,63.57,68.26,48.99,B.Tech in Mechanical,Engineering,Defaulted,No,3,58.36,7.0300726122765145,1,2022
10026,18,Tier 3,Telangana,90.71,92.07,81.13,B.Tech in Electronics,Engineering,Defaulted,No,5,60.76,8.410283247903514,0,2021
10027,19,Tier 1,Rajasthan,86.55,77.07,55.93,B.Com,Commerce,On-Time,No,1,62.39,7.21199049185433,1,2022
10028,19,Tier 2,West Bengal,69.63,61.43,81.37,B.Tech in Electronics,Engineering,On-Time,No,3,53.85,8.136199021828146,0,2021
10029,22,Tier 2,Andhra Pradesh,73.3,67.11,59.52,B.Sc in Physics,Science,On-Time,Yes,1,52.09,7.719689615774454,0,2021
10030,20,Tier 2,Tamil Nadu,62.72,67.51,71.51,B.Tech in Electronics,Engineering,Delayed,Yes,0,49.84,8.305985467578187,1,2022
10031,21,Tier 3,Delhi,82.07,86.27,48.8,B.Com,Commerce,On-Time,Yes,4,55.64,6.986505094022134,0,2023
10032,18,Tier 3,Tamil Nadu,64.07,59.16,49.27,B.Tech in Mechanical,Engineering,On-Time,Yes,3,53.48,7.46,1,2021
10033,22,Tier 3,Tamil Nadu,61.41,62.43,48.39,B.Tech in Computer Science,Engineering,On-Time,No,4,54.69,7.033773203353328,1,2022
10034,18,Tier 1,Delhi,96.36,88.82,73.94,B.Tech in Computer Science,Engineering,On-Time,No,2,61.65,8.079091545732876,0,2021
10035,18,Tier 2,Karnataka,72.7,70.27,79.09,BBA,Management,On-Time,No,5,60.6,8.554938592233935,0,2022
10036,21,Tier 1,Maharashtra,66.48,69.51,56.99,B.Sc in Physics,Science,On-Time,No,4,54.8,7.021830778111484,0,2022
10037,20,Tier 2,Rajasthan,97.15,98.49,72.52,BBA,Management,On-Time,No,1,55.3,7.610926287486779,0,2023
10038,21,Tier 2,Andhra Pradesh,69.84,66.56,72.06,BBA,Management,On-Time,Yes,3,64.99,8.6,1,2021
10039,19,Tier 3,Andhra Pradesh,69.28,72.77,89.86,B.Tech in Computer Science,Engineering,Delayed,No,2,61.93,8.868223299507278,0,2023
10040,21,Tier 1,Andhra Pradesh,81.55,83.03,80.38,B.Tech in Electronics,Engineering,On-Time,No,4,65.28,8.240446600039064,0,2024
10041,19,Tier 1,Karnataka,58.4,50.34,76.56,B.Tech in Mechanical,Engineering,On-Time,No,5,55.69,8.684743233158935,1,2023
10042,21,Tier 1,Uttar Pradesh,97.97,90.17,46.29,BBA,Management,Defaulted,No,1,62.24,6.7759410618624045,1,2021
10043,20,Tier 3,Tamil Nadu,63.18,64.42,84.58,B.Sc in Physics,Science,Delayed,No,4,50.81,8.572396344344618,1,2024
10044,20,Tier 2,Karnataka,94.3,85.14,97.08,B.Tech in Electronics,Engineering,On-Time,Yes,3,59.97,10.0,0,2024
10045,20,Tier 3,Uttar Pradesh,71.38,66.8,61.92,B.Sc in Physics,Science,On-Time,No,0,60.0,8.1,1,2023
10046,19,Tier 1,Andhra Pradesh,71.71,71.14,96.01,B.Sc in Physics,Science,Delayed,Yes,5,67.22,8.079452424161486,0,2022
10047,20,Tier 3,Andhra Pradesh,70.42,69.45,51.2,B.Tech in Computer Science,Engineering,On-Time,Yes,2,55.7,7.24951422608009,0,2024
10048,19,Tier 1,Telangana,66.92,57.16,98.26,B.Com,Commerce,On-Time,No,4,52.51,8.36650269032188,0,2022
10049,22,Tier 2,Delhi,76.67,67.49,42.56,B.Sc in Physics,Science,On-Time,No,3,60.39,5.668971327810797,0,2024
10050,22,Tier 2,Andhra Pradesh,74.51,70.43,45.85,B.Sc in Physics,Science,On-Time,Yes,5,61.8,6.935282689305529,1,2024
10051,18,Tier 1,Delhi,59.01,62.56,83.59,B.Tech in Mechanical,Engineering,On-Time,Yes,1,59.99,8.598737850950954,0,2021
10052,21,Tier 1,Tamil Nadu,70.05,66.71,46.78,B.Tech in Electronics,Engineering,On-Time,No,2,63.11,7.115739112658734,0,2022
10053,18,Tier 1,Karnataka,79.35,78.34,48.37,B.Sc in Physics,Science,On-Time,Yes,2,61.34,6.0021776202205785,0,2023
10054,21,Tier 2,Rajasthan,81.1,79.89,52.72,B.Com,Commerce,On-Time,No,0,47.74,6.664938050217319,0,2021
10055,18,Tier 3,Gujarat,73.52,76.58,71.42,B.Tech in Mechanical,Engineering,On-Time,Yes,2,61.66,7.78125748906985,0,2023
10056,19,Tier 2,Telangana,90.78,81.98,45.2,B.Tech in Computer Science,Engineering,Delayed,Yes,1,50.07,5.884417429936463,0,2022
10057,18,Tier 2,Karnataka,63.48,59.44,84.85,B.Sc in Physics,Science,On-Time,No,3,57.09,9.23067164636482,1,2022
10058,20,Tier 1,Telangana,70.13,74.02,67.24,B.Tech in Computer Science,Engineering,On-Time,No,4,51.66,8.477668537802751,1,2022
